[14.10.2025  9:45:39,76] Starte TimeTracker 
[14.10.2025 10:23:55,26] Starte TimeTracker 
[14.10.2025 11:58:00,83] Starte TimeTracker 
[14.10.2025 16:45:52,45] Starte TimeTracker 
[14.10.2025 16:48:36,44] Starte TimeTracker 
[14.10.2025 16:50:49,01] Starte TimeTracker 
[14.10.2025 16:50:53,78] Starte TimeTracker 
[14.10.2025 16:52:31,57] Starte TimeTracker 
[14.10.2025 17:19:02,38] Starte TimeTracker 
[14.10.2025 19:40:01,71] Starte TimeTracker 
[14.10.2025 20:06:30,30] Starte TimeTracker 
[14.10.2025 20:21:03,58] Starte TimeTracker 
[28.10.2025 11:03:26,79] Starte TimeTracker 
